Identifiant,n° notice BnF,Type de notice ,Type de document,Localisation,Exemplaire n°,Titre,Auteur,Contributeur,Editeur,Date,Description,Sujet,Couverture,Langue,Format
http://catalogue.bnf.fr/ark:/12148/cb384666355,38466635,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-598 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 4, Cours du 27 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310700numéro de fabrication,Organisme (philosophie) | Valeur | Villes | ,,fre | français | ,"2 disques compacts enregistrables (46 min 29 s, 46 min 27 s)"
http://catalogue.bnf.fr/ark:/12148/cb384666355,38466635,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-598 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 4, Cours du 27 novembre 1979 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310700numéro de fabrication,Organisme (philosophie) | Valeur | Villes | ,,fre | français | ,"2 disques compacts enregistrables (46 min 29 s, 46 min 27 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466772n,38466772,monographie,enregistrement sonore,Document numérique | NUMAUD-128287 | ,1,"[Anti-Oedipe et autres réflexions] : année universitaire 1979-1980. 1, Cours du 27 mai 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310886numéro de fabrication,Maladies mentales | Schizophrénie | ,,fre | français | ,"3 disques compacts enregistrables (46 min 44 s, 37 min 45 s, 37 min 35 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466772n,38466772,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-612 (4) | ,2,"[Anti-Oedipe et autres réflexions] : année universitaire 1979-1980. 1, Cours du 27 mai 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310886numéro de fabrication,Maladies mentales | Schizophrénie | ,,fre | français | ,"3 disques compacts enregistrables (46 min 44 s, 37 min 45 s, 37 min 35 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466772n,38466772,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-612 (3) | ,3,"[Anti-Oedipe et autres réflexions] : année universitaire 1979-1980. 1, Cours du 27 mai 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310886numéro de fabrication,Maladies mentales | Schizophrénie | ,,fre | français | ,"3 disques compacts enregistrables (46 min 44 s, 37 min 45 s, 37 min 35 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466778q,38466778,monographie,enregistrement sonore,Document numérique | NUMAUD-128288 | ,1,"[Anti-Oedipe et autres réflexions] : année universitaire 1979-1980. 2, Cours du 3 juin 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723220390005numéro de fabrication,Philosophie du langage,,fre | français | ,"2 disques compacts enregistrables (1 h 02 min, 56 min 09 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466778q,38466778,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-613 (3) | ,2,"[Anti-Oedipe et autres réflexions] : année universitaire 1979-1980. 2, Cours du 3 juin 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723220390005numéro de fabrication,Philosophie du langage,,fre | français | ,"2 disques compacts enregistrables (1 h 02 min, 56 min 09 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466778q,38466778,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-613 (4) | ,3,"[Anti-Oedipe et autres réflexions] : année universitaire 1979-1980. 2, Cours du 3 juin 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723220390005numéro de fabrication,Philosophie du langage,,fre | français | ,"2 disques compacts enregistrables (1 h 02 min, 56 min 09 s)"
http://catalogue.bnf.fr/ark:/12148/cb38466609m,38466609,monographie,enregistrement sonore,Document numérique | NUMAUD-128274 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 5, Cours du 15 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310732numéro de fabrication,Élégies,,fre | français | ,1 disque compact enregistrable (20 min 23 s)
http://catalogue.bnf.fr/ark:/12148/cb38466609m,38466609,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-599 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 5, Cours du 15 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310732numéro de fabrication,Élégies,,fre | français | ,1 disque compact enregistrable (20 min 23 s)
http://catalogue.bnf.fr/ark:/12148/cb38466609m,38466609,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-599 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 5, Cours du 15 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310732numéro de fabrication,Élégies,,fre | français | ,1 disque compact enregistrable (20 min 23 s)
http://catalogue.bnf.fr/ark:/12148/cb384666146,38466614,monographie,enregistrement sonore,Document numérique | NUMAUD-128275 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 6, Cours du 22 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723220391435numéro de fabrication,Impôts | Despotisme | ,,fre | français | ,2 disques compacts enregistrables (59 min 21 s ; 1 h 09 min 16 s)
http://catalogue.bnf.fr/ark:/12148/cb384666146,38466614,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-600 (3) | ,2,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 6, Cours du 22 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723220391435numéro de fabrication,Impôts | Despotisme | ,,fre | français | ,2 disques compacts enregistrables (59 min 21 s ; 1 h 09 min 16 s)
http://catalogue.bnf.fr/ark:/12148/cb384666146,38466614,monographie,enregistrement sonore,Tolbiac | Rez-de-jardin | magasin | PDC12-600 (4) | ,3,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 6, Cours du 22 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723220391435numéro de fabrication,Impôts | Despotisme | ,,fre | français | ,2 disques compacts enregistrables (59 min 21 s ; 1 h 09 min 16 s)
http://catalogue.bnf.fr/ark:/12148/cb38466618k,38466618,monographie,enregistrement sonore,Document numérique | NUMAUD-128276 | ,1,"[Appareils d'État et machines de guerre] : année universitaire 1979-1980. 7, Cours du 29 janvier 1980 (Reproduction numérisée) Gilles Deleuze, aut., participant","Deleuze, Gilles (1925-1995). Auteur du texte","Deleuze, Gilles (1925-1995). Participant",Bibliothèque nationale de France (Paris),1998,Numéro(s) de matrice : 723520310940numéro de fabrication,"Hobbes, Thomas (1588-1679). Leviathan | Histoire sociale -- Jusqu'à 500 | Villes | ",,fre | français | ,"3 disques compacts enregistrables (46 min 27 s, 46 min 28 s, 35 min 53 s)"
