id,titre,curation:theme,dcterms:valid,curation:number
72740,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 1, Cours du 8 novembre 1983 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,1
72742,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 2, Cours du 22 novembre 1983 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,2
72750,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 3, Cours du 29 novembre 1983 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,3
72757,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 4, Cours du 6 décembre 1983 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,4
72760,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 5, Cours du 13 décembre 1983 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,5
72766,"[Vérité et temps, le faussaire : année universitaire 1983-84]. Cours 6, Cours du 20 décembre 1983 (Reproduction numérisée) Gilles Deleuze, aut. du texte, participant","Vérité et temps, le faussaire",1983-1984,6
72767,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 01, Cours du 30 octobre 1984 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,1
72770,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 02, Cours du 6 novembre 1984 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,2
72772,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 03, Cours du 13 novembre 1984 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,3
72775,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 04, Cours du 20 novembre 1984 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,4
72777,"[Sur le cinéma]. L'image-pensée : année universitaire 1984-1985. 05, Cours du 27 novembre 1984 (Reproduction numérisée) Gilles Deleuze, aut., participant",L'image-pensée,1984-1985,5
