idOmk,idArk,dcterms:date
72865,ark:/12148/cb384786811,1985-04-30
72866,ark:/12148/cb38478685d,1985-04-30
72868,ark:/12148/cb384787087,1985-05-14
72870,ark:/12148/cb38478710s,1985-05-21
72871,ark:/12148/cb384787114,1985-05-28
72874,ark:/12148/cb38478712g,1985-06-04
72875,ark:/12148/cb384787145,1985-06-18
72876,ark:/12148/cb38507013c,1986-01-07
72877,ark:/12148/cb385070241,1986-01-07
72878,ark:/12148/cb385070528,1986-02-21
72879,ark:/12148/cb38507029r,1986-01-07
72880,ark:/12148/cb38507046b,1986-02-25
72881,ark:/12148/cb385070559,1986-03-04
72882,ark:/12148/cb38507056n,1986-03-11
72883,ark:/12148/cb385070570,1986-03-18
72884,ark:/12148/cb38507080h,1986-03-25
72885,ark:/12148/cb38507083j,1986-04-08
72886,ark:/12148/cb385070857,1986-04-15
72887,ark:/12148/cb385072237,1986-04-22
72888,ark:/12148/cb385072299,1986-04-29
72889,ark:/12148/cb38507234w,1986-05-06
72890,ark:/12148/cb38507237x,1986-05-13
72891,ark:/12148/cb38507240t,1986-05-20
72892,ark:/12148/cb385072415,1986-05-27
72893,ark:/12148/cb385080933,1986-10-28
72894,ark:/12148/cb385080964,1986-11-04
72895,ark:/12148/cb38508097g,1986-11-18
72896,ark:/12148/cb38508098t,1987-01-06
72897,ark:/12148/cb38508100j,1987-01-13
72899,ark:/12148/cb385105912,1987-03-10
72901,ark:/12148/cb38510602w,1987-04-28
72902,ark:/12148/cb38510622h,1987-05-12
72903,ark:/12148/cb385081027,1987-01-20
72904,ark:/12148/cb385106037,1987-05-05
72906,ark:/12148/cb38510593r,1987-03-17
72907,ark:/12148/cb38508103k,1987-01-27
72908,ark:/12148/cb38508104x,1987-02-24
72910,ark:/12148/cb38510634h,1987-06-02
72911,ark:/12148/cb38510607m,1987-05-12
72912,ark:/12148/cb385105974,1987-04-07
72914,ark:/12148/cb38510568j,1987-03-03
72915,ark:/12148/cb38510629x,1987-05-26
