id,Url,"Resource class",properties_small
,http://localhost/omk_deleuze/s/cours-bnf/item/72831,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72830,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72829,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72828,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72827,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72826,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72825,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72824,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72823,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72822,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72821,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72820,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72819,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72818,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72817,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72816,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72815,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72814,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72813,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72812,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72811,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72810,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72809,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72808,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72807,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72806,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72805,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72804,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72803,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72802,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72801,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72800,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72799,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72798,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72797,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72796,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72795,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72794,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72793,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72792,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72791,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72790,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72789,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72788,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72787,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72786,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72785,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72784,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72783,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72782,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72781,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72780,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72779,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72778,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72777,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72776,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72775,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72774,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72773,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72772,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72771,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72770,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72769,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72768,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72767,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72766,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72765,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72764,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72763,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72762,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72761,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72760,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72759,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72758,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72757,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72756,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72755,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72754,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72753,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72752,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72751,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72750,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72749,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72748,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72747,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72746,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72745,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72744,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72743,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72742,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72741,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72740,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72739,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72738,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72737,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72736,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72735,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72734,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72733,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72732,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72731,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72730,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72729,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72728,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72727,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72726,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72725,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72724,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72723,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72722,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72721,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72720,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72719,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72718,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72717,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72716,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72715,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72714,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72713,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72712,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72711,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72710,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72709,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72708,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72707,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72706,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72705,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72704,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72703,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72702,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72701,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72700,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72699,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72698,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72697,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72696,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72695,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72694,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72693,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72692,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72691,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72690,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72689,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72688,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72687,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72686,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72685,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72684,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72683,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72682,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72681,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72680,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72679,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72678,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72677,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72676,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72675,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72674,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72673,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72672,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72671,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72670,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72669,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72668,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72667,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72666,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72665,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72664,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72663,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72662,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72661,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72660,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72659,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72658,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72657,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72656,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72655,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72654,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72653,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72652,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72651,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72650,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72649,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72648,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72647,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72646,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72645,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72644,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72643,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72642,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72641,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72640,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72639,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72638,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72637,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72636,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72635,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72634,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72633,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72632,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72631,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72630,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72629,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72628,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72627,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72626,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72625,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72624,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72623,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72622,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72621,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72620,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72619,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72618,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72617,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72616,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72615,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72614,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72613,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72612,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72611,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72610,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72609,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72608,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72607,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72606,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72605,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72604,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72603,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72602,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72601,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72600,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72599,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72598,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72597,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72596,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72595,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72594,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72593,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72592,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72591,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72590,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72589,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72588,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72587,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72586,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72585,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72584,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72583,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72582,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72581,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72580,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72579,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72578,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72577,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72576,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72575,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72574,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72573,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72572,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72571,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72570,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72569,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72568,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72567,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72566,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72565,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72564,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72563,bibo:Conference,
,http://localhost/omk_deleuze/s/cours-bnf/item/72562,skos:Concept,
,http://localhost/omk_deleuze/s/cours-bnf/item/72561,skos:Concept,
